time,header,pose
2022/10/11 14:15:48.384099526,"{'stamp': {'secs': 1665490548, 'nsecs': 381285800}, 'frame_id': 'map'}","{'position': {'x': -0.01720072329044342, 'y': -0.010825506411492825, 'z': -0.04490561783313751}, 'orientation': {'x': 0.006332781637721778, 'y': -0.002409874809061617, 'z': 0.009879769199984234, 'w': -0.999928291096412}}"
2022/10/11 14:15:48.411662399,"{'stamp': {'secs': 1665490548, 'nsecs': 409826989}, 'frame_id': 'map'}","{'position': {'x': -0.017961865290999413, 'y': -0.01112227514386177, 'z': -0.046400412917137146}, 'orientation': {'x': 0.006327613709695383, 'y': -0.00239968021080579, 'z': 0.009889210094050693, 'w': -0.9999282068027149}}"
2022/10/11 14:15:48.445413976,"{'stamp': {'secs': 1665490548, 'nsecs': 443068700}, 'frame_id': 'map'}","{'position': {'x': -0.018458904698491096, 'y': -0.011229699477553368, 'z': -0.047812797129154205}, 'orientation': {'x': 0.006333739655344765, 'y': -0.002397958610825796, 'z': 0.009891696758112856, 'w': -0.9999281646558664}}"
2022/10/11 14:15:48.486590473,"{'stamp': {'secs': 1665490548, 'nsecs': 481338601}, 'frame_id': 'map'}","{'position': {'x': -0.017895666882395744, 'y': -0.010645612142980099, 'z': -0.04923409968614578}, 'orientation': {'x': 0.006359378274765675, 'y': -0.002382273233098537, 'z': 0.009926341467588862, 'w': -0.9999277431873813}}"
2022/10/11 14:15:48.514934372,"{'stamp': {'secs': 1665490548, 'nsecs': 513433609}, 'frame_id': 'map'}","{'position': {'x': -0.01767011359333992, 'y': -0.010306315496563911, 'z': -0.050455935299396515}, 'orientation': {'x': 0.006371859668825472, 'y': -0.0024018794201901986, 'z': 0.009944211731357455, 'w': -0.9999274060125931}}"
2022/10/11 14:15:48.547561831,"{'stamp': {'secs': 1665490548, 'nsecs': 543568342}, 'frame_id': 'map'}","{'position': {'x': -0.017642388120293617, 'y': -0.010064497590065002, 'z': -0.05171636492013931}, 'orientation': {'x': 0.006386210341471177, 'y': -0.0024015596968315726, 'z': 0.00997055351167675, 'w': -0.9999270266909566}}"
2022/10/11 14:15:48.585306840,"{'stamp': {'secs': 1665490548, 'nsecs': 583152541}, 'frame_id': 'map'}","{'position': {'x': -0.01777951605618, 'y': -0.009904801845550537, 'z': -0.05313524976372719}, 'orientation': {'x': 0.006390807640681405, 'y': -0.0023916630899656088, 'z': 0.009999887718240397, 'w': -0.9999267738098656}}"
2022/10/11 14:15:48.614734268,"{'stamp': {'secs': 1665490548, 'nsecs': 612622348}, 'frame_id': 'map'}","{'position': {'x': -0.018065979704260826, 'y': -0.00981413945555687, 'z': -0.05461937189102173}, 'orientation': {'x': 0.006390888806292014, 'y': -0.002400564471443884, 'z': 0.010033268022260955, 'w': -0.9999263523413804}}"
2022/10/11 14:15:48.647059616,"{'stamp': {'secs': 1665490548, 'nsecs': 642331759}, 'frame_id': 'map'}","{'position': {'x': -0.018496999517083168, 'y': -0.009794970974326134, 'z': -0.056312259286642075}, 'orientation': {'x': 0.006408838424673845, 'y': -0.0024179714491511374, 'z': 0.010051728341908761, 'w': -0.9999260151665923}}"
2022/10/11 14:15:48.682310338,"{'stamp': {'secs': 1665490548, 'nsecs': 676276045}, 'frame_id': 'map'}","{'position': {'x': -0.01920795813202858, 'y': -0.009858435019850731, 'z': -0.058402713388204575}, 'orientation': {'x': 0.0064141230797142785, 'y': -0.0024060730316170322, 'z': 0.010070146514708056, 'w': -0.9999258887260468}}"
