time,layout,data
2022/10/11 14:17:34.250581147,"{'dim': [], 'data_offset': 0}","[0.0, 4.0, 2.0, 0.0]"
2022/10/11 14:17:34.251333199,"{'dim': [], 'data_offset': 0}","[4.0, 4.0, 2.0, 0.0]"
2022/10/11 14:17:34.254669596,"{'dim': [], 'data_offset': 0}","[-2.0, 4.0, 2.0, 0.0]"
2022/10/11 14:17:34.256946522,"{'dim': [], 'data_offset': 0}","[-2.0, 4.0, 4.284799575805664, 0.0]"
2022/10/11 14:17:34.282789478,"{'dim': [], 'data_offset': 0}","[-2.0, 4.0, 6.569599628448486, 0.0]"
2022/10/11 14:17:34.287745090,"{'dim': [], 'data_offset': 0}","[-2.0, 4.0, 8.854399681091309, 0.0]"
2022/10/11 14:17:34.288447103,"{'dim': [], 'data_offset': 0}","[-2.0, 4.0, 11.139199256896973, 0.0]"
2022/10/11 14:17:34.289865110,"{'dim': [], 'data_offset': 0}","[-2.0, 4.0, 13.423998832702637, 0.0]"
2022/10/11 14:17:34.304422840,"{'dim': [], 'data_offset': 0}","[-2.0, 4.0, 15.7087984085083, 0.0]"
2022/10/11 14:17:34.306375566,"{'dim': [], 'data_offset': 0}","[-2.0, 4.0, 17.99359893798828, 0.0]"
2022/10/11 14:17:34.317751866,"{'dim': [], 'data_offset': 0}","[-2.0, 4.0, 20.278398513793945, 0.0]"
2022/10/11 14:17:34.319080269,"{'dim': [], 'data_offset': 0}","[-2.0, 4.0, 22.56319808959961, 0.0]"
2022/10/11 14:17:34.323255160,"{'dim': [], 'data_offset': 0}","[-2.0, 4.0, 24.847997665405273, 0.0]"
2022/10/11 14:17:34.327788161,"{'dim': [], 'data_offset': 0}","[-2.0, 4.0, 27.132797241210938, 0.0]"
2022/10/11 14:17:34.329090921,"{'dim': [], 'data_offset': 0}","[-2.0, 4.0, 29.4175968170166, 0.0]"
2022/10/11 14:17:34.329637517,"{'dim': [], 'data_offset': 0}","[-2.0, 4.0, 31.702396392822266, 0.0]"
2022/10/11 14:17:34.330087890,"{'dim': [], 'data_offset': 0}","[-2.0, 4.0, 33.98719787597656, 0.0]"
2022/10/11 14:17:34.330432528,"{'dim': [], 'data_offset': 0}","[-2.0, 4.0, 36.271995544433594, 0.0]"
2022/10/11 14:17:34.333252622,"{'dim': [], 'data_offset': 0}","[-2.0, 4.0, 38.55679702758789, 0.0]"
2022/10/11 14:17:34.333917541,"{'dim': [], 'data_offset': 0}","[4.0, -2.0, 38.55679702758789, 1.5707963705062866]"
2022/10/11 14:17:34.335708485,"{'dim': [], 'data_offset': 0}","[4.0, -2.0, 36.271995544433594, 1.5707963705062866]"
2022/10/11 14:17:34.336713556,"{'dim': [], 'data_offset': 0}","[4.0, -2.0, 33.98719787597656, 1.5707963705062866]"
2022/10/11 14:17:34.345886061,"{'dim': [], 'data_offset': 0}","[4.0, -2.0, 31.702396392822266, 1.5707963705062866]"
2022/10/11 14:17:34.346593951,"{'dim': [], 'data_offset': 0}","[4.0, -2.0, 29.4175968170166, 1.5707963705062866]"
2022/10/11 14:17:34.346829347,"{'dim': [], 'data_offset': 0}","[4.0, -2.0, 27.132797241210938, 1.5707963705062866]"
2022/10/11 14:17:34.347076778,"{'dim': [], 'data_offset': 0}","[4.0, -2.0, 24.847997665405273, 1.5707963705062866]"
2022/10/11 14:17:34.347181861,"{'dim': [], 'data_offset': 0}","[4.0, -2.0, 22.56319808959961, 1.5707963705062866]"
2022/10/11 14:17:34.347310883,"{'dim': [], 'data_offset': 0}","[4.0, -2.0, 20.278398513793945, 1.5707963705062866]"
2022/10/11 14:17:34.347464085,"{'dim': [], 'data_offset': 0}","[4.0, -2.0, 17.99359893798828, 1.5707963705062866]"
2022/10/11 14:17:34.348172567,"{'dim': [], 'data_offset': 0}","[4.0, -2.0, 15.708799362182617, 1.5707963705062866]"
2022/10/11 14:17:34.349679616,"{'dim': [], 'data_offset': 0}","[4.0, -2.0, 13.423999786376953, 1.5707963705062866]"
